Well_ID	Longitude	Latitude	GWLm	method	mean	median	well_constructed_depth	altitude	vertical_datum	Counts
285537095214001	-95.362	28.927	-11.08	median	-11.08	-11.08	224.0	4.85	NAVD88	1
285648095202101	-95.339	28.947	-9.43	median	-9.43	-9.43	249.0	5.09	NAVD88	2
285654095215101	-95.364	28.949	-11.93	median	-11.93	-11.93	249.0	4.91	NAVD88	2
285919095344701	-95.581	28.989	-11.00	median	-11.00	-11.00	506.0	13.66	NAVD88	1
290000095192602	-95.325	29.000	-10.39	median	-10.39	-10.39	232.0	4.98	NAVD88	2
290018095295201	-95.498	29.005	-34.26	median	-34.26	-34.26	341.0	14.50	NAVD88	1
290834095384201	-95.645	29.143	-12.32	mean	-12.32	-11.81	659.0	34.28	NAVD88	6
290939095480601	-95.802	29.161	2.32	median	2.26	2.32	500.0	49.97	NAVD88	3
291055095482501	-95.807	29.182	1.75	median	1.81	1.75	399.0	52.94	NAVD88	6
291114095213001	-95.359	29.188	2.81	median	2.60	2.81	335.0	15.01	NAVD88	5
291201095200701	-95.336	29.201	-12.63	mean	-12.63	-12.80	960.0	14.20	NAVD88	5
291204095264001	-95.445	29.201	-15.50	mean	-15.50	-16.10	807.0	32.90	NAVD88	4
291210095484001	-95.811	29.203	1.46	median	1.35	1.46	473.0	55.15	NAVD88	6
291305095352201	-95.589	29.220	-11.54	mean	-11.54	-11.40	867.0	35.01	NAVD88	4
291320095351401	-95.588	29.223	-6.79	median	-7.08	-6.79	852.0	34.98	NAVD88	4
291344095205101	-95.348	29.229	-2.15	median	-2.14	-2.15	304.0	23.84	NAVD88	3
291510095405201	-95.683	29.253	-8.27	median	-9.44	-8.27	887.0	60.00	NAVD88	6
291545095202401	-95.341	29.263	-6.53	mean	-6.53	-6.70	514.0	26.00	NAVD88	6
291808095261701	-95.438	29.302	1.11	median	0.79	1.11	1168.0	40.26	NAVD88	5
291841095321601	-95.538	29.312	-18.95	mean	-18.95	-19.15	875.0	42.37	NAVD88	6
291859095152601	-95.257	29.317	-14.84	mean	-14.84	-14.84	350.0	24.77	NAVD88	6
291908095414901	-95.697	29.319	-8.03	mean	-8.03	-8.00	756.0	54.98	NAVD88	6
291919095485101	-95.814	29.322	1.51	median	1.50	1.51	871.0	74.75	NAVD88	6
291948095135401	-95.232	29.330	-16.65	mean	-16.65	-16.74	400.0	20.41	NAVD88	4
291949095024801	-95.047	29.331	-17.53	mean	-17.53	-17.66	756.0	19.74	NAVD88	5
292037095010501	-95.018	29.344	-14.87	median	-14.87	-14.87	1080.0	14.01	NAVD88	1
292050095010501	-95.018	29.348	-17.98	median	-17.32	-17.98	790.0	16.04	NAVD88	3
292054095171901	-95.289	29.349	-14.20	mean	-14.20	-14.13	473.0	29.75	NAVD88	6
292054095371301	-95.621	29.349	-11.21	mean	-11.21	-10.88	874.0	57.42	NAVD88	6
292109094562901	-94.942	29.353	-16.25	median	-16.31	-16.25	643.0	10.06	NAVD88	3
292138095435801	-95.733	29.361	-1.61	median	-1.78	-1.61	1195.0	74.80	NAVD88	6
292144095033601	-95.060	29.363	-18.43	mean	-18.43	-18.53	884.0	20.03	NAVD88	4
292146095410301	-95.684	29.363	-9.21	median	-9.21	-9.21	1158.0	69.39	NAVD88	2
292151095035901	-95.067	29.364	-19.45	mean	-19.45	-19.77	888.0	20.49	NAVD88	5
292155095041001	-95.070	29.366	-19.89	mean	-19.89	-19.76	873.0	20.03	NAVD88	5
292159095042101	-95.073	29.367	-20.45	median	-20.45	-20.45	866.0	20.03	NAVD88	1
292201095450301	-95.817	29.357	-2.24	median	-1.37	-2.24	1082.0	80.12	NAVD88	4
292203095043201	-95.076	29.368	-19.10	mean	-19.10	-19.06	843.0	23.70	NAVD88	6
292204095042901	-95.075	29.368	-20.18	mean	-20.18	-20.20	874.0	19.98	NAVD88	6
292204095043601	-95.077	29.368	-20.35	mean	-20.35	-20.31	836.0	24.67	NAVD88	6
292204095281301	-95.471	29.368	-12.76	mean	-12.76	-12.69	923.0	50.08	NAVD88	6
292205095043701	-95.077	29.368	-19.02	mean	-19.02	-18.58	850.0	24.16	NAVD88	72
292207094544001	-94.911	29.369	-16.41	mean	-16.41	-16.62	645.0	6.65	NAVD88	6
292208095042701	-95.074	29.369	-18.56	mean	-18.56	-18.53	775.0	19.53	NAVD88	5
292209094564701	-94.947	29.369	-14.70	median	-14.91	-14.70	1000.0	14.86	NAVD88	5
292209095042801	-95.075	29.369	-19.80	mean	-19.80	-19.84	855.0	19.10	NAVD88	4
292211094543301	-94.909	29.370	-23.40	mean	-23.40	-23.87	1042.0	7.53	NAVD88	6
292211095044501	-95.079	29.370	-18.70	mean	-18.70	-18.04	817.0	24.08	NAVD88	6
292218095390801	-95.653	29.372	-10.16	mean	-10.16	-10.07	1155.0	70.01	NAVD88	5
292222094564801	-94.947	29.373	-15.62	mean	-15.62	-15.99	1025.0	14.84	NAVD88	5
292223094544401	-94.912	29.373	-14.77	mean	-14.77	-14.43	1017.0	8.50	NAVD88	6
292229094565801	-94.950	29.375	-15.36	median	-15.36	-15.36	1025.0	15.19	NAVD88	1
